RegionName,StateName,HealthRegionName,MunicipalityName,RegionID,StateID,HealthRegionID,MunicipalityID,RegionLat,RegionLon,StateLat,StateLon,HealthRegionLat,HealthRegionLon,MunicipalityLat,MunicipalityLon
Centro-Oeste,Mato Grosso,Garças Araguaia,,1,8,56,,-15.298585,-54.305543,-12.948673,-55.912136,-15.198407,-52.689238,,
Centro-Oeste,Mato Grosso,Médio Araguaia,,1,8,57,,-15.298585,-54.305543,-12.948673,-55.912136,-13.115361,-52.283725,,
Centro-Oeste,Mato Grosso,Médio Norte Matogrossense,,1,8,58,,-15.298585,-54.305543,-12.948673,-55.912136,-14.070789,-58.052819,,
Centro-Oeste,Mato Grosso,Noroeste Matogrossense,,1,8,59,,-15.298585,-54.305543,-12.948673,-55.912136,-10.579538,-59.397221,,
Centro-Oeste,Mato Grosso,Norte Araguaia Karajá,,1,8,60,,-15.298585,-54.305543,-12.948673,-55.912136,-11.576948,-51.607307,,
Centro-Oeste,Mato Grosso,Norte Matogrossense,,1,8,61,,-15.298585,-54.305543,-12.948673,-55.912136,-10.836116,-54.961896,,
Centro-Oeste,Mato Grosso,Oeste Matogrossense,,1,8,62,,-15.298585,-54.305543,-12.948673,-55.912136,-16.134910,-58.090711,,
Centro-Oeste,Mato Grosso,Sudoeste Matogrossense,,1,8,63,,-15.298585,-54.305543,-12.948673,-55.912136,-13.635870,-59.858242,,
Centro-Oeste,Mato Grosso,Sul Matogrossense,,1,8,64,,-15.298585,-54.305543,-12.948673,-55.912136,-15.614286,-54.174343,,
Centro-Oeste,Mato Grosso,Teles Pires,,1,8,65,,-15.298585,-54.305543,-12.948673,-55.912136,-12.556308,-55.311785,,
Centro-Oeste,Mato Grosso,Vale do Peixoto,,1,8,66,,-15.298585,-54.305543,-12.948673,-55.912136,-10.029467,-54.290995,,
Centro-Oeste,Mato Grosso,Vale dos Arinos,,1,8,67,,-15.298585,-54.305543,-12.948673,-55.912136,-11.199005,-57.213532,,
Centro-Oeste,Mato Grosso do Sul,Campo Grande,,1,9,68,,-15.298585,-54.305543,-20.327131,-54.845702,-20.109675,-55.085582,,
Centro-Oeste,Mato Grosso do Sul,Corumbá,,1,9,69,,-15.298585,-54.305543,-20.327131,-54.845702,-18.724365,-56.727023,,
Centro-Oeste,Mato Grosso do Sul,Dourados,,1,9,70,,-15.298585,-54.305543,-20.327131,-54.845702,-22.608533,-54.447776,,
Centro-Oeste,Mato Grosso do Sul,Três Lagoas,,1,9,71,,-15.298585,-54.305543,-20.327131,-54.845702,-20.307130,-52.241660,,
Nordeste,Alagoas,10ª Região de Saúde,,2,10,72,,-8.634569,-41.740481,-9.514014,-36.625026,-9.278795,-37.846748,,
Nordeste,Alagoas,1ª Região de Saúde,,2,10,73,,-8.634569,-41.740481,-9.514014,-36.625026,-9.508470,-35.807286,,
Nordeste,Alagoas,2ª Região de Saúde,,2,10,74,,-8.634569,-41.740481,-9.514014,-36.625026,-9.100784,-35.459892,,
Nordeste,Alagoas,3ª Região de Saúde,,2,10,75,,-8.634569,-41.740481,-9.514014,-36.625026,-9.083152,-35.902098,,
Nordeste,Alagoas,4ª Região de Saúde,,2,10,76,,-8.634569,-41.740481,-9.514014,-36.625026,-9.392249,-36.235570,,
Nordeste,Alagoas,5ª Região de Saúde,,2,10,77,,-8.634569,-41.740481,-9.514014,-36.625026,-9.810045,-36.253996,,
Nordeste,Alagoas,6ª Região de Saúde,,2,10,78,,-8.634569,-41.740481,-9.514014,-36.625026,-10.141726,-36.411465,,
Nordeste,Alagoas,7ª Região de Saúde,,2,10,79,,-8.634569,-41.740481,-9.514014,-36.625026,-9.775299,-36.843558,,
Nordeste,Alagoas,8ª Região de Saúde,,2,10,80,,-8.634569,-41.740481,-9.514014,-36.625026,-9.462080,-36.667383,,
Nordeste,Alagoas,9ª Região de Saúde,,2,10,81,,-8.634569,-41.740481,-9.514014,-36.625026,-9.401841,-37.394536,,
Nordeste,Bahia,Alagoinhas,,2,11,82,,-8.634569,-41.740481,-12.475150,-41.721852,-11.793626,-38.172679,,
Nordeste,Bahia,Barreiras,,2,11,83,,-8.634569,-41.740481,-12.475150,-41.721852,-11.859551,-45.134522,,
Nordeste,Bahia,Brumado,,2,11,84,,-8.634569,-41.740481,-12.475150,-41.721852,-13.649839,-41.870614,,
Nordeste,Bahia,Camaçari,,2,11,85,,-8.634569,-41.740481,-12.475150,-41.721852,-12.342403,-38.054065,,
Nordeste,Bahia,Cruz das Almas,,2,11,86,,-8.634569,-41.740481,-12.475150,-41.721852,-12.672125,-39.016365,,
Nordeste,Bahia,Feira de Santana,,2,11,87,,-8.634569,-41.740481,-12.475150,-41.721852,-12.074211,-39.554591,,
Nordeste,Bahia,Guanambi,,2,11,88,,-8.634569,-41.740481,-12.475150,-41.721852,-14.185767,-42.945417,,
Nordeste,Bahia,Ibotirama,,2,11,89,,-8.634569,-41.740481,-12.475150,-41.721852,-11.581816,-43.206836,,
Nordeste,Bahia,Ilhéus,,2,11,90,,-8.634569,-41.740481,-12.475150,-41.721852,-15.135652,-39.212183,,
Nordeste,Bahia,Irecê,,2,11,91,,-8.634569,-41.740481,-12.475150,-41.721852,-11.247992,-42.212910,,
Nordeste,Bahia,Itaberaba,,2,11,92,,-8.634569,-41.740481,-12.475150,-41.721852,-12.604779,-40.690170,,
Nordeste,Bahia,Itabuna,,2,11,93,,-8.634569,-41.740481,-12.475150,-41.721852,-14.787700,-39.523766,,
Nordeste,Bahia,Itapetinga,,2,11,94,,-8.634569,-41.740481,-12.475150,-41.721852,-15.249624,-40.129407,,
Nordeste,Bahia,Jacobina,,2,11,95,,-8.634569,-41.740481,-12.475150,-41.721852,-11.244665,-40.785803,,
Nordeste,Bahia,Jequié,,2,11,96,,-8.634569,-41.740481,-12.475150,-41.721852,-13.718350,-40.245021,,
Nordeste,Bahia,Juazeiro,,2,11,97,,-8.634569,-41.740481,-12.475150,-41.721852,-9.716631,-41.369061,,
Nordeste,Bahia,Paulo Afonso,,2,11,98,,-8.634569,-41.740481,-12.475150,-41.721852,-9.471382,-38.693819,,
Nordeste,Bahia,Porto Seguro,,2,11,99,,-8.634569,-41.740481,-12.475150,-41.721852,-16.320829,-39.495793,,
