RegionName,StateName,HealthRegionName,HealthRegionLat,HealthRegionLon,match_0,match_1,match_2,match_3
Nordeste,Ceará,15ª Região Crateús,-5.132740,-40.600269,,,,
Nordeste,Ceará,16ª Região Camocim,-3.131587,-40.957102,,,,
Nordeste,Ceará,17ª Região Icó,-6.522547,-38.885424,,,,
Nordeste,Ceará,18ª Região Iguatú,-6.187983,-39.566903,,,,
Nordeste,Ceará,19ª Região Brejo Santo,-7.329001,-38.890993,,,,
Nordeste,Ceará,1ª Região Fortaleza,-3.913795,-38.462929,,,,
Nordeste,Ceará,20ª Região Crato,-7.039628,-39.852472,,,,
Nordeste,Ceará,21ª Região Juazeiro do Norte,-7.291495,-39.258374,,,,
Nordeste,Ceará,22ª Região Cascavel,-4.351935,-38.295675,,,,
Nordeste,Ceará,2ª Região Caucaia,-3.780931,-39.177776,,,,
Nordeste,Ceará,3ª Região Maracanaú,-4.108248,-38.724269,,,,
Nordeste,Ceará,4ª Região Baturité,-4.462517,-38.866274,,,,
Nordeste,Ceará,5ª Região Canindé,-4.649949,-39.533645,,,,
Nordeste,Ceará,6ª Região Itapipoca,-3.400549,-39.617812,,,,
Nordeste,Ceará,7ª Região Aracati,-4.666718,-37.673204,,,,
Nordeste,Ceará,8ª Região Quixadá,-5.260275,-39.173495,,,,
Nordeste,Ceará,9ª Região Russas,-5.066869,-38.346664,,,,
Nordeste,Maranhão,Açailândia,-4.689212,-47.219208,,,,
Nordeste,Maranhão,Bacabal,-4.292526,-45.170825,,,,
Nordeste,Maranhão,Balsas,-7.913536,-46.221103,,,,
Nordeste,Maranhão,Barra do Corda,-5.676227,-45.643427,,,,
Nordeste,Maranhão,Caxias,-4.613563,-43.309929,,,,
Nordeste,Maranhão,Chapadinha,-3.358848,-42.755699,,,,
Nordeste,Maranhão,Codó,-4.349156,-44.034417,,,,
Nordeste,Maranhão,Imperatriz,-5.844321,-46.922021,,,,
Nordeste,Maranhão,Itapecuru Mirim,-3.482839,-44.080897,,,,
Nordeste,Maranhão,Pedreiras,-4.764055,-44.992116,,,,
Nordeste,Maranhão,Pinheiro,-2.187187,-45.182847,,,,
Nordeste,Maranhão,Presidente Dutra,-5.348003,-44.432692,,,,
Nordeste,Maranhão,Rosário,-2.834826,-43.553669,,,,
Nordeste,Maranhão,Santa Inês,-3.904525,-45.994194,,,,
Nordeste,Maranhão,São João dos Patos,-6.429997,-44.250000,,,,
Nordeste,Maranhão,São Luís,-2.474921,-44.393014,,,,
Nordeste,Maranhão,Timon,-5.635245,-43.252846,,,,
Nordeste,Maranhão,Viana,-3.027803,-44.963163,,,,
Nordeste,Maranhão,Zé Doca,-2.566617,-46.122678,,,,
Nordeste,Paraíba,10ª Região,-6.753600,-38.180099,,,,
Nordeste,Paraíba,11ª Região,-7.569301,-37.885873,,,,
Nordeste,Paraíba,12ª Região,-7.293669,-35.396762,,,,
Nordeste,Paraíba,13ª Região,-6.755738,-37.781979,,,,
Nordeste,Paraíba,14ª Região,-6.728402,-35.137774,,,,
Nordeste,Paraíba,15ª Região,-7.571713,-36.034796,,,,
Nordeste,Paraíba,16ª Região,-7.166422,-36.333194,,,,
Nordeste,Paraíba,1ª Região Mata Atlântica,-7.158256,-35.017492,,,,
Nordeste,Paraíba,2ª Região,-6.725532,-35.577906,,,,
Nordeste,Paraíba,3ª Região,-6.994318,-35.787881,,,,
Nordeste,Paraíba,4ª Região,-6.656490,-36.235693,,,,
Nordeste,Paraíba,5ª Região,-7.739985,-36.803567,,,,
Nordeste,Paraíba,6ª Região,-7.012445,-37.258717,,,,
Nordeste,Paraíba,7ª Região,-7.354723,-38.173320,,,,
Nordeste,Paraíba,8ª Região,-6.335747,-37.575380,,,,
Nordeste,Paraíba,9ª Região,-6.858569,-38.505304,,,,
Nordeste,Pernambuco,Afogados da Ingazeira,-7.646120,-37.440294,,,,
Nordeste,Pernambuco,Arcoverde,-8.592391,-37.545163,,,,
Nordeste,Pernambuco,Caruaru,-8.273943,-36.189651,,,,
